n,P,E
2.134843484292787e+46,9.980084669992998e+00,1.027050318241188e+01
2.235972937146615e+46,1.094355468534216e+01,1.125208503316695e+01
2.341892982992276e+46,1.200016609446374e+01,1.232796085994378e+01
2.452830556521592e+46,1.315893307172653e+01,1.350721821380083e+01
2.569023342526394e+46,1.442974281580207e+01,1.479982234060517e+01
2.690720285140653e+46,1.582344014278194e+01,1.621670107145682e+01
2.818182121205470e+46,1.735192027866693e+01,1.776983793140967e+01
2.951681938900237e+46,1.902823064614222e+01,1.947237426260792e+01
3.091505762836628e+46,2.086668251761814e+01,2.133872123509894e+01
3.237953166869009e+46,2.288297349106791e+01,2.338468270321671e+01
3.391337915934234e+46,2.509432183794040e+01,2.562758995826370e+01
3.551988638295964e+46,2.751961387416706e+01,2.808644953005217e+01
3.720249529633803e+46,3.017956561688821e+01,3.078210530157026e+01
3.896481090485773e+46,3.309690011195487e+01,3.373741632357348e+01
4.081060898624096e+46,3.629654195156165e+01,3.697745185031255e+01
4.274384418019114e+46,3.980583064869403e+01,4.052970526505485e+01
4.476865846124555e+46,4.365475469668235e+01,4.442432872579079e+01
4.688939001299462e+46,4.787620831944012e+01,4.869439053893571e+01
4.911058252268098e+46,5.250627311243903e+01,5.337615746345479e+01
5.143699491609198e+46,5.758452698780667e+01,5.850940436132317e+01
5.387361155360286e+46,6.315438307095634e+01,6.413775384441760e+01
5.642565290921555e+46,6.926346145287330e+01,7.030904882482220e+01
5.909858675547423e+46,7.596399698379597e+01,7.707576115732658e+01
6.189813987821543e+46,8.331328660293524e+01,8.449543987199353e+01
6.483031034626606e+46,9.137418003780131e+01,9.263120283380405e+01
6.790138036235841e+46,1.002156180783676e+02,1.015522760382689e+02
7.111792972280940e+46,1.099132230391732e+02,1.113345851599978e+02
7.448684991479584e+46,1.205499464697550e+02,1.220614044187573e+02
7.801535888143041e+46,1.322167796645337e+02,1.338240683185437e+02
8.171101648627242e+46,1.450135330615824e+02,1.467227523537815e+02
8.558174071040645e+46,1.590496912102196e+02,1.608673293675701e+02
8.963582461679111e+46,1.744453506351375e+02,1.763783088949885e+02
9.388195411822416e+46,1.913322486353829e+02,1.933878675354078e+02
9.832922658699221e+46,2.098548918360056e+02,2.120409791776210e+02
1.029871703460761e+47,2.301717941653014e+02,2.324966547570938e+02
1.078657650836724e+47,2.524568348685992e+02,2.549293021630643e+02
1.129754632347690e+47,2.769007481985475e+02,2.795302179426593e+02
1.183272123755846e+47,3.037127575506382e+02,3.065092235784397e+02
1.239324786788545e+47,3.331223680509745e+02,3.360964603545380e+02
1.298032714802120e+47,3.653813329616175e+02,3.685443581854041e+02
1.359521690083038e+47,4.007658107589417e+02,4.041297952718211e+02
1.423923453337618e+47,4.395787313749983e+02,4.431564670840075e+02
1.491375985947741e+47,4.821523918849874e+02,4.859574849653549e+02
1.562023805597269e+47,5.288513038909731e+02,5.328982266180416e+02
1.636018275902447e+47,5.800753170095966e+02,5.843794628900930e+02
1.713517930710014e+47,6.362630452389230e+02,6.408407876515984e+02
1.794688813757364e+47,6.978956255755535e+02,7.027643801445774e+02
1.879704834422828e+47,7.655008411020990e+02,7.706791320408176e+02
1.968748140328154e+47,8.396576438893902e+02,8.451651745671782e+02
2.062009507591494e+47,9.210011164855912e+02,9.268588444866216e+02
2.159688749567023e+47,1.010227914524433e+03,1.016458131484291e+03
2.261995144946932e+47,1.108102237109522e+03,1.114728653633799e+03
2.369147886142982e+47,1.215462376156446e+03,1.222510212144807e+03
2.481376548908304e+47,1.333227900837957e+03,1.340723981557756e+03
2.598921584205609e+47,1.462407538722484e+03,1.470380396997931e+03
2.722034833375621e+47,1.604107821169247e+03,1.612587806075385e+03
2.850980067709522e+47,1.759542567095488e+03,1.768561959571072e+03
2.986033553581412e+47,1.930043286419144e+03,1.939636422238812e+03
3.127484644351607e+47,2.117070592365041e+03,2.127273992939257e+03
3.275636400308930e+47,2.322226720472298e+03,2.333079231973323e+03
3.430806237980220e+47,2.547269261628830e+03,2.558812202972719e+03
3.593326610198221e+47,2.794126226867639e+03,2.806403547115995e+03
3.763545718384954e+47,3.064912573077451e+03,3.077971018858544e+03
3.941828258576287e+47,3.361948331305152e+03,3.375837624892180e+03
4.128556202786976e+47,3.687778493069451e+03,3.702551521794326e+03
4.324129617389047e+47,4.045194825174658e+03,4.060907842898875e+03
4.528967520257813e+47,4.437259800051153e+03,4.453972641461228e+03
4.743508778521603e+47,4.867332846785147e+03,4.885109155328975e+03
4.968213048838699e+47,5.339099147898220e+03,5.358006618230657e+03
5.203561762216038e+47,5.856601228763659e+03,5.876711864624914e+03
5.450059155479663e+47,6.424273610490390e+03,6.445663998999580e+03
5.708233351606849e+47,7.046980823370938e+03,7.069732426779741e+03
5.978637491234539e+47,7.730059106802875e+03,7.754258572820670e+03
